,geo_id,Unnamed: 0,demographics.P_ENGLISH,demographics.P_NON_ENGLISH,demographics.P_AGE_LT5,demographics.P_AGE_LT18,demographics.P_AGE_GT17,demographics.P_AGE_GT64,demographics.P_HLI_OTHER_LI,demographics.P_LOWINC,demographics.PCT_MINORITY,demographics.P_EDU_LTHS,demographics.P_LIMITED_ENG_HH,demographics.P_EMP_STAT_UNEMPLOYED,demographics.P_DISABILITY,demographics.P_MALES,demographics.P_FEMALES,demographics.LIFEEXP,demographics.PER_CAP_INC,demographics.HSHOLDS,demographics.P_OWN_OCCUPIED,main.RAW_D_PEOPCOLOR,main.RAW_D_INCOME,main.RAW_D_UNDER5,main.RAW_D_OVER64,main.RAW_D_UNEMPLOYED,main.RAW_D_LIFEEXP,main.RAW_E_DIESEL,main.RAW_E_CANCER,main.RAW_E_TRAFFIC,main.RAW_E_O3,main.RAW_E_PM25,main.RAW_E_RSEI_AIR,main.stateAbbr,main.stateName,main.totalPop,main.NUM_AIRPOLL,main.NUM_BROWNFIELD,main.NUM_HOSPITAL,main.statLayerCount,main.statLayerZeroPopCount,main.weightLayerCount,main.distance,main.unit,main.areatype,main.statlevel,main.placename,extras.RAW_HI_LIFEEXPPCT,extras.RAW_HI_ASTHMA,extras.RAW_HI_DISABILITYPCT,extras.RAW_CG_NOHINCPCT,extras.RAW_CI_FLOOD,extras.RAW_CI_FLOOD30,extras.RAW_CI_FIRE,extras.RAW_CI_FIRE30
33,17031801300.0,33,86,14,6,30,70,17,0,10,19,4,6.0,8,6,48,52,84,103496,1738,75,19%,10%,6%,17%,8%,14%,0.289,20.0,69.0,67.7,9.06,3500.0,IL,ILLINOIS,4432.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Wilmette, IL",14%,8.0,5.9%,0%,3%,4%,0%,0%
34,17031160400.0,34,62,38,6,20,80,8,11,33,45,8,8.0,7,10,51,49,80,39458,1983,50,45%,33%,6%,8%,7%,18%,0.648,30.0,430.0,66.3,9.79,7900.0,IL,ILLINOIS,4790.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",18%,8.5,9.1%,13%,14%,16%,0%,0%
35,17031301801.0,35,7,93,12,27,73,11,0,52,98,27,26.0,12,8,50,50,77,13767,1164,36,98%,52%,12%,11%,12%,21%,0.598,30.0,53.0,65.4,10.2,19000.0,IL,ILLINOIS,4120.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",21%,9.2,7.4%,21%,4%,5%,0%,0%
36,17031300700.0,36,12,88,4,22,78,7,0,52,99,42,27.0,10,10,52,48,76,18977,1623,36,99%,52%,4%,7%,10%,22%,0.61,30.0,59.0,65.4,10.2,14000.0,IL,ILLINOIS,4740.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",22%,10.1,9.3%,29%,10%,10%,0%,0%
37,17031823703.0,37,44,56,7,31,69,11,4,28,35,19,11.0,8,10,51,49,75,23709,2928,68,35%,28%,7%,11%,8%,23%,0.512,30.0,430.0,65.9,10.4,5400.0,IL,ILLINOIS,9079.0,39.0,0.0,0.0,4.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Bridgeview, IL",23%,10.2,9.8%,14%,11%,12%,0%,0%
38,17031803017.0,38,66,34,5,22,78,15,4,19,32,6,10.0,1,6,46,54,86,53381,2560,56,32%,19%,5%,15%,1%,12%,0.388,20.0,460.0,65.5,9.48,3900.0,IL,ILLINOIS,5948.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Palatine, IL",12%,8.5,6.2%,8%,4%,4%,0%,0%
39,17031140302.0,39,50,50,7,21,79,15,0,33,56,21,22.0,6,7,46,54,77,32895,1319,44,56%,33%,7%,15%,6%,21%,0.502,30.0,250.0,66.4,9.73,7900.0,IL,ILLINOIS,3685.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",21%,7.9,7%,13%,0%,1%,0%,0%
40,17031829100.0,40,39,61,8,29,71,19,0,67,87,36,8.0,10,9,47,53,78,16967,1204,48,87%,67%,8%,19%,10%,20%,0.344,20.0,68.0,64.1,9.98,4100.0,IL,ILLINOIS,3461.0,17.0,13.0,0.0,2.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago Heights, IL",20%,10.4,8.1%,9%,11%,12%,0%,0%
41,17031720600.0,41,95,5,14,29,71,18,0,11,35,2,0.0,9,11,43,57,78,49984,631,91,35%,11%,14%,18%,9%,20%,0.493,30.0,190.0,65.8,10.3,5700.0,IL,ILLINOIS,1777.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",20%,8.6,9.4%,1%,0%,0%,0%,0%
42,17031611600.0,42,76,24,21,34,66,10,0,56,100,13,22.0,45,4,59,41,75,13993,500,36,100%,56%,21%,10%,45%,23%,0.568,30.0,89.0,65.6,10.2,9000.0,IL,ILLINOIS,1742.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",23%,12.1,3.3%,32%,32%,37%,0%,0%
